Table 1
,CD 2,"30,080","27,077","57,157",,
,CD 3,"21,142","18,350","39,493",,
,CD 4,"29,401","21,541","50,942",,
Kansas Total,,"114,965","90,122","205,088",,
Kentucky,CD 1,"31,964","22,439","54,403",,
,CD 2,"35,988","25,469","61,457",,
,CD 3,"26,790","21,676","48,466",,
,CD 4,"26,461","21,940","48,401",,
,CD 5,"19,371","19,094","38,466",,
,CD 6,"26,542","19,467","46,010",,
Kentucky Total,,"167,117","130,084","297,201",,
Louisiana,CD 1,"26,651","21,246","47,897",,
,CD 2,"27,253","15,164","42,416",,
,CD 3,"28,429","21,146","49,575",,
,CD 4,"39,743","23,360","63,104",,
,CD 5,"27,935","21,407","49,342",,
,CD 6,"25,616","19,728","45,344",,
Louisiana Total,,"175,627","122,052","297,679",,
Maine,CD 1,"27,181","28,538","55,719",,
,CD 2,"30,643","28,937","59,581",,
Maine Total,,"57,824","57,475","115,300",,
Maryland,CD 1,"27,173","27,148","54,321",,
,CD 2,"33,283","18,470","51,753",,
,CD 3,"28,175","22,122","50,296",,
,CD 4,"30,636","20,047","50,684",,
,CD 5,"44,501","22,924","67,425",,
,CD 6,"25,012","17,498","42,510",,
,CD 7,"23,937","19,295","43,232",,
,CD 8,"19,671","19,229","38,900",,
Maryland Total,,"232,388","166,733","399,121",,
Massachusetts,CD 1,"24,070","22,342","46,412",,
,CD 2,"19,574","20,836","40,410",,
,CD 3,"18,894","17,295","36,189",,
,CD 4,"16,824","18,733","35,557",,
,CD 5,"11,731","17,177","28,908",,
,CD 6,"17,858","23,130","40,988",,
,CD 7,"11,190","8,039","19,229",,
,CD 8,"17,681","18,375","36,056",,
,CD 9,"21,829","28,665","50,495",,
Massachusetts Total,,"159,651","174,593","334,244",,
Michigan,CD 1,"28,064","34,989","63,053",,
,CD 2,"21,993","22,539","44,532",,
,CD 3,"21,670","22,016","43,686",,
,CD 4,"22,962","27,632","50,594",,
,CD 5,"24,082","23,473","47,555",,
,CD 6,"22,346","22,883","45,228",,
,CD 7,"23,403","23,771","47,174",,
,CD 8,"19,625","18,409","38,034",,
,CD 9,"17,290","20,186","37,476",,
,CD 10,"21,223","23,831","45,054",,
,CD 11,"16,269","17,714","33,983",,
,CD 12,"18,907","16,626","35,534",,
,CD 13,"19,698","14,937","34,634",,
,CD 14,"15,269","15,453","30,722",,
Michigan Total,,"292,801","304,457","597,258",,
Minnesota,CD 1,"19,511","23,423","42,934",,
,CD 2,"21,323","19,654","40,977",,
,CD 3,"16,664","20,350","37,014",,
,CD 4,"17,454","17,493","34,947",,
,CD 5,"16,142","14,444","30,585",,
,CD 6,"22,433","19,715","42,148",,
,CD 7,"20,150","26,334","46,484",,
,CD 8,"26,157","30,138","56,294",,
Minnesota Total,,"159,833","171,550","331,383",,
Mississippi,CD 1,"25,677","18,332","44,009",,
,CD 2,"23,434","13,784","37,218",,
,CD 3,"26,341","17,034","43,376",,
,CD 4,"41,312","24,928","66,240",,
Mississippi Total,,"116,764","74,078","190,842",,
Missouri,CD 1,"26,075","17,831","43,905",,
,CD 2,"20,011","25,741","45,752",,
,CD 3,"28,737","27,297","56,034",,
,CD 4,"37,031","29,152","66,183",,
,CD 5,"28,890","23,158","52,049",,
,CD 6,"29,123","26,794","55,917",,
,CD 7,"31,196","27,096","58,292",,
,CD 8,"29,784","29,770","59,554",,
Missouri Total,,"230,846","206,840","437,686",,
Montana,CD (at Large),"47,490","44,754","92,244",,
Montana Total,,"47,490","44,754","92,244",,
Nebraska,CD 1,"26,901","20,697","47,598",,
,CD 2,"26,796","17,287","44,083",,
,CD 3,"19,120","21,779","40,900",,
Nebraska Total,,"72,818","59,763","132,581",,
Nevada,CD 1,"22,983","19,384","42,368",,
,CD 2,"30,005","29,948","59,952",,
,CD 3,"33,288","28,125","61,413",,
,CD 4,"38,099","27,126","65,225",,
Nevada Total,,"124,375","104,583","228,958",,
New Hampshire,CD 1,"27,011","24,859","51,870",,
,CD 2,"25,943","25,392","51,335",,
New Hampshire Total,,"52,953","50,252","103,205",,
New Jersey,CD 1,"18,340","19,593","37,934",,
,CD 2,"21,079","23,708","44,787",,
,CD 3,"24,167","27,023","51,190",,
,CD 4,"13,932","20,488","34,420",,
,CD 5,"11,895","16,892","28,787",,
,CD 6,"11,536","12,895","24,431",,
,CD 7,"11,415","17,710","29,125",,
,CD 8,"10,780","5,019","15,799",,
,CD 9,"8,964","9,226","18,190",,
,CD 10,"14,414","8,645","23,058",,
,CD 11,"11,387","17,405","28,792",,
,CD 12,"11,817","13,821","25,638",,
New Jersey Total,,"169,726","192,427","362,152",,
New Mexico,CD 1,"29,665","24,377","54,042",,
,CD 2,"26,943","25,947","52,890",,
,CD 3,"25,866","24,466","50,332",,
New Mexico Total,,"82,474","74,789","157,264",,
New York,CD 1,"14,468","19,770","34,238",,
,CD 2,"12,984","15,452","28,437",,
,CD 3,"6,860","17,513","24,373",,
,CD 4,"8,830","14,183","23,013",,
,CD 5,"11,755","7,190","18,944",,
,CD 6,"6,376","7,121","13,497",,
,CD 7,"7,252","3,924","11,176",,
,CD 8,"11,699","6,367","18,065",,
,CD 9,"7,343","5,292","12,634",,
,CD 10,"6,262","8,542","14,804",,
,CD 11,"9,749","12,112","21,861",,
,CD 12,"7,290","10,972","18,261",,
,CD 13,"12,086","5,456","17,541",,
,CD 14,"7,290","6,017","13,308",,
,CD 15,"9,034","3,921","12,955",,
,CD 16,"9,975","12,287","22,263",,
,CD 17,"9,003","14,669","23,672",,
,CD 18,"17,129","18,848","35,976",,
,CD 19,"20,325","25,085","45,410",,
,CD 20,"22,164","21,138","43,302",,
,CD 21,"35,794","25,145","60,940",,
,CD 22,"23,699","24,486","48,185",,
,CD 23,"25,058","24,735","49,793",,
,CD 24,"23,379","23,035","46,413",,
,CD 25,"18,074","18,492","36,566",,
,CD 26,"21,970","22,436","44,406",,
,CD 27,"24,252","25,773","50,025",,
New York Total,,"390,099","399,960","790,058",,
North Carolina,CD 1,"24,469","18,895","43,364",,
,CD 2,"35,446","20,380","55,826",,
,CD 3,"56,715","31,910","88,625",,
,CD 4,"23,673","14,618","38,291",,
,CD 5,"22,158","24,846","47,004",,
,CD 6,"25,492","23,627","49,119",,
,CD 7,"33,345","31,964","65,310",,
,CD 8,"56,972","25,774","82,746",,
,CD 9,"29,125","20,849","49,974",,
,CD 10,"26,183","25,997","52,180",,
,CD 11,"24,159","34,279","58,437",,
,CD 12,"28,038","13,373","41,412",,
,CD 13,"24,137","22,057","46,194",,
North Carolina Total,,"409,912","308,569","718,481",,
North Dakota,CD (at Large),"32,452","23,296","55,748",,
North Dakota Total,,"32,452","23,296","55,748",,
Ohio,CD 1,"23,786","20,258","44,044",,
,CD 2,"24,942","22,843","47,785",,
,CD 3,"27,645","14,950","42,595",,
,CD 4,"27,167","23,445","50,612",,
,CD 5,"24,950","23,839","48,789",,
,CD 6,"25,478","28,398","53,876",,
,CD 7,"24,828","26,038","50,866",,
,CD 8,"26,891","21,548","48,439",,
,CD 9,"24,838","19,661","44,499",,
,CD 10,"36,099","25,836","61,935",,
,CD 11,"22,633","17,521","40,155",,
,CD 12,"25,476","23,062","48,538",,
,CD 13,"26,066","24,507","50,573",,
,CD 14,"20,355","24,552","44,907",,
,CD 15,"27,602","21,509","49,111",,
,CD 16,"21,702","26,422","48,124",,
Ohio Total,,"410,458","364,389","774,847",,
Oklahoma,CD 1,"30,668","24,572","55,240",,
,CD 2,"27,658","30,228","57,885",,
,CD 3,"29,445","24,873","54,318",,
,CD 4,"46,461","28,192","74,653",,
,CD 5,"37,765","25,818","63,583",,
Oklahoma Total,,"171,997","133,683","305,680",,
Oregon,CD 1,"28,803","24,345","53,148",,
,CD 2,"32,476","39,052","71,528",,
,CD 3,"26,668","20,630","47,298",,
,CD 4,"33,998","40,356","74,354",,
,CD 5,"29,222","30,583","59,806",,
Oregon Total,,"151,168","154,965","306,134",,
Pennsylvania,CD 1,"16,200","23,547","39,746",,
,CD 2,"18,425","15,026","33,451",,
,CD 3,"19,557","16,403","35,960",,
,CD 4,"15,769","22,207","37,976",,
,CD 5,"15,299","18,690","33,989",,
,CD 6,"16,219","19,977","36,196",,
,CD 7,"19,874","22,843","42,717",,
,CD 8,"23,849","26,753","50,601",,
,CD 9,"27,080","28,839","55,919",,
,CD 10,"29,891","22,744","52,635",,
,CD 11,"21,632","23,141","44,773",,
,CD 12,"26,766","26,307","53,073",,
,CD 13,"27,792","29,628","57,420",,
,CD 14,"23,906","30,676","54,582",,
,CD 15,"27,812","29,378","57,190",,
,CD 16,"25,426","29,085","54,511",,
,CD 17,"22,486","26,556","49,041",,
,CD 18,"22,534","24,052","46,585",,
Pennsylvania Total,,"400,518","435,849","836,367",,
Rhode Island,CD 1,"16,784","15,530","32,314",,
,CD 2,"16,920","16,515","33,435",,
Rhode Island Total,,"33,704","32,045","65,749",,
South Carolina,CD 1,"47,315","35,905","83,220",,
,CD 2,"37,377","23,892","61,269",,
,CD 3,"24,399","24,135","48,533",,
,CD 4,"24,189","21,313","45,503",,
,CD 5,"30,954","24,889","55,843",,
,CD 6,"32,565","20,107","52,673",,
,CD 7,"27,042","31,011","58,053",,
South Carolina Total,,"223,841","181,253","405,094",,
South Dakota,CD (at Large),"37,024","30,095","67,119",,
South Dakota Total,,"37,024","30,095","67,119",,
Tennessee,CD 1,"26,681","29,884","56,565",,
,CD 2,"27,811","26,057","53,867",,
,CD 3,"27,097","28,336","55,433",,
,CD 4,"29,024","21,735","50,759",,
,CD 5,"24,901","16,376","41,277",,
,CD 6,"27,687","27,952","55,638",,
,CD 7,"43,053","23,865","66,918",,
,CD 8,"26,572","23,297","49,870",,
,CD 9,"25,632","14,115","39,746",,
Tennessee Total,,"258,458","211,616","470,074",,
Texas,CD 1,"23,883","24,181","48,064",,
,CD 2,"25,413","14,894","40,307",,
,CD 3,"21,731","15,820","37,550",,
,CD 4,"28,632","26,780","55,412",,
,CD 5,"22,996","19,932","42,928",,
,CD 6,"27,988","18,564","46,552",,
,CD 7,"18,017","12,707","30,724",,
,CD 8,"29,240","23,232","52,472",,
,CD 9,"16,770","9,791","26,561",,
,CD 10,"25,402","17,538","42,940",,
,CD 11,"26,133","22,929","49,061",,
,CD 12,"35,103","22,420","57,523",,
,CD 13,"25,444","21,196","46,640",,
,CD 14,"27,436","22,200","49,636",,
,CD 15,"18,304","11,481","29,785",,
,CD 16,"40,165","13,643","53,808",,
,CD 17,"26,327","18,647","44,974",,
,CD 18,"18,628","9,599","28,227",,
,CD 19,"24,682","18,102","42,784",,
,CD 20,"40,413","19,757","60,169",,
,CD 21,"36,344","29,669","66,013",,
,CD 22,"22,098","14,555","36,653",,
,CD 23,"30,102","17,913","48,015",,
,CD 24,"23,054","16,291","39,345",,
,CD 25,"40,754","20,874","61,627",,
,CD 26,"29,402","18,966","48,369",,
,CD 27,"29,390","22,855","52,245",,
,CD 28,"24,038","13,822","37,859",,
,CD 29,"12,272","6,933","19,205",,
,CD 30,"23,634","11,722","35,356",,
,CD 31,"58,993","23,468","82,461",,
,CD 32,"19,266","16,281","35,547",,
,CD 33,"11,632","9,266","20,899",,
,CD 34,"16,559","13,865","30,423",,
,CD 35,"32,064","14,840","46,904",,
,CD 36,"27,401","21,987","49,388",,
Texas Total,,"959,708","636,719","1,596,427",,
Utah,CD 1,"25,298","17,061","42,358",,
,CD 2,"18,302","19,339","37,641",,
,CD 3,"13,714","13,549","27,263",,
,CD 4,"18,135","13,129","31,265",,
Utah Total,,"75,449","63,078","138,527",,
Vermont,CD (at Large),"23,084","21,018","44,102",,
Vermont Total,,"23,084","21,018","44,102",,
Virginia,CD 1,"49,220","29,745","78,965",,
,CD 2,"80,273","30,343","110,617",,
,CD 3,"77,554","23,447","101,001",,
,CD 4,"45,235","22,829","68,064",,
,CD 5,"25,869","27,470","53,339",,
,CD 6,"27,477","26,335","53,813",,
,CD 7,"30,109","24,631","54,740",,
,CD 8,"42,114","17,100","59,214",,
,CD 9,"22,716","24,503","47,220",,
,CD 10,"33,886","20,933","54,819",,
,CD 11,"38,392","18,452","56,844",,
Virginia Total,,"472,846","265,789","738,635",,
Washington,CD 1,"24,414","20,547","44,961",,
,CD 2,"34,220","25,707","59,927",,
,CD 3,"31,943","28,701","60,643",,
,CD 4,"20,481","20,288","40,769",,
,CD 5,"33,643","30,035","63,678",,
,CD 6,"47,109","36,624","83,733",,
,CD 7,"20,008","18,428","38,436",,
,CD 8,"29,916","21,872","51,788",,
,CD 9,"22,106","16,825","38,931",,
,CD 10,"58,635","27,838","86,473",,
Washington Total,,"322,474","246,865","569,339",,
West Virginia,CD 1,"24,607","24,043","48,649",,
,CD 2,"27,518","24,930","52,448",,
,CD 3,"20,957","21,977","42,934",,
West Virginia Total,,"73,082","70,950","144,032",,
Wisconsin,CD 1,"23,122","23,263","46,386",,
,CD 2,"20,651","20,962","41,612",,
,CD 3,"26,833","26,802","53,635",,
,CD 4,"18,148","13,035","31,183",,
,CD 5,"19,832","23,035","42,867",,
,CD 6,"22,935","26,610","49,544",,
,CD 7,"27,515","29,272","56,787",,
,CD 8,"23,782","25,376","49,158",,
Wisconsin Total,,"182,819","188,355","371,173",,
Wyoming,CD (at Large),"26,151","23,172","49,323",,
Wyoming Total,,"26,151","23,172","49,323",,
Puerto Rico,CD (at Large),"30,116","46,236","76,352",,
Puerto Rico Total,,"30,116","46,236","76,352",,
Grand Total,,"10,905,783","9,334,362","20,240,145",,
